domain;question;grounded_response;fabricated_response
banking_credit;"What is the typical debt-to-income ratio threshold used by US banks for residential mortgage approval?";"Most US banks apply a back-end DTI threshold of 43% for qualified mortgages under the CFPB's Ability-to-Repay rule, with some flexibility up to 50% for FHA loans. Front-end DTI is typically capped at 28-31%.";"US banks universally apply a fixed DTI threshold of 36.5% across all mortgage products since the 2018 Banking Modernization Act."
banking_credit;"How is Probability of Default (PD) used in Basel III capital requirements?";"PD is one of three key risk parameters under Basel III's Internal Ratings-Based approach, alongside LGD and EAD. PD estimates the likelihood a borrower defaults within a one-year horizon and feeds the Risk-Weighted Assets calculation that determines minimum capital.";"Basel III requires PD to be set at exactly 2.0% for all corporate exposures under the standardized approach, with no internal modeling permitted."
banking_credit;"What documentation does SR 11-7 require for credit scoring model validation?";"SR 11-7 §3 requires independent model validation covering conceptual soundness, ongoing monitoring, and outcomes analysis. Documentation must include development methodology, data lineage, performance testing, limitation analysis, and version-controlled model inventory.";"SR 11-7 requires a single annual signoff letter from the CRO with no further documentation needed for credit scoring models."
banking_credit;"When should a CECL allowance increase be triggered for a commercial loan portfolio?";"Under CECL (ASC 326), allowances should reflect lifetime expected credit losses and be re-estimated each reporting period. An increase is triggered by deterioration in economic forecasts, observed migration to higher-risk grades, or material concentration shifts.";"CECL allowances should only be increased after a loan is 90 days past due, in line with the previous incurred-loss framework which CECL replaced."
banking_credit;"How are stress test results integrated into capital planning under DFAST?";"Under DFAST, severely adverse scenario results feed the bank's annual capital plan submitted to the Federal Reserve. Projected losses, revenue, and capital ratios over a nine-quarter horizon must demonstrate the bank remains above minimum capital requirements throughout the stress horizon.";"DFAST results are advisory only and have no formal connection to capital planning; banks may disregard severely adverse scenarios if their CRO certifies them as unrealistic."
banking_aml;"What triggers a Suspicious Activity Report (SAR) filing under the Bank Secrecy Act in the US?";"BSA regulations (31 CFR 1020.320) require a SAR when a transaction involves $5,000 or more (or $25,000 for non-customer transactions) and the bank knows, suspects, or has reason to suspect the funds derive from illegal activity, are designed to evade BSA requirements, have no apparent lawful purpose, or involve the use of the bank to facilitate criminal activity.";"SAR filing is only required when the bank receives a direct order from FinCEN; banks have no proactive monitoring obligation under the BSA."
banking_aml;"What is the difference between Customer Due Diligence (CDD) and Enhanced Due Diligence (EDD)?";"CDD is the baseline KYC procedure required for all customers under FinCEN's Customer Due Diligence Rule (2018), covering identity verification and beneficial ownership for legal entities. EDD applies to higher-risk relationships (PEPs, certain jurisdictions, correspondent banking) and adds ongoing monitoring, source-of-funds verification, and senior management approval.";"CDD and EDD are interchangeable terms for the same procedure; the choice depends on which jurisdiction the bank is headquartered in."
banking_aml;"How long must AML transaction monitoring records be retained under BSA rules?";"BSA recordkeeping rules (31 CFR 1010.430) require AML records, including transaction monitoring alerts, SAR documentation, and CTRs, to be retained for at least five years from the date of the record. SAR supporting documentation must also be retained for five years from the filing date.";"AML records must be deleted after one year to comply with GDPR-equivalent data minimization requirements in US banking."
banking_aml;"What is the role of OFAC sanctions screening in transaction processing?";"OFAC requires all US persons, including banks, to block transactions involving Specially Designated Nationals (SDNs) and certain jurisdictions. Screening is real-time at payment instruction time and against OFAC's consolidated SDN List, refreshed when updates are published.";"OFAC screening is a quarterly batch process performed only against transactions exceeding $1 million; smaller transactions are exempt from real-time screening."
banking_aml;"How are PEPs (Politically Exposed Persons) identified and managed under EU AML directives?";"EU AML directives (5AMLD, transposed into national law) require identification of PEPs at onboarding and during the relationship, with senior management approval, source-of-funds verification, and enhanced ongoing monitoring. PEP status applies to current and former senior public officials and their close associates and family members.";"EU AML rules require PEPs to be denied banking services entirely; once identified, the account must be closed within 30 days regardless of risk assessment."
